relyea_taxa,relyea_order,relyea_site_count,relyea_taxa_FSBI,relyea_sensitivity_score,source,relyea_note
Ampumixis dispar,C,28,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Claassenia sabulosa,P,44,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Despaxia augusta,P,102,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Ecclisomyia,T,64,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Megarcys,P,220,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Neaviperla,P,38,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Oligophlebodes,T,107,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Perlinodes aurea,P,30,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhithrogena hageni,E,34,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhithrogena robusta,E,58,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila hyalinata grp.,T,123,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Antocha monticola,D,37,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Arctopsyche,T,199,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Arctopsyche grandis,T,190,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Atrichopogon,D,53,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Attenella margarita,E,50,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Brachycentrus americanus,T,191,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Caudatella,E,194,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Caudatella cascadia,E,1,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Caudatella edmundsi,E,16,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Caudatella heterocaudata,E,7,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Caudatella jacobi,E,5,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Caudatella hystrix,E,55,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Cultus,P,70,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Doroneuria,P,179,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Doroneuria baumanni,P,7,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Doroneuria theodora,P,7,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Drunella coloradensis/flavilinea,E,155,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Drunella doddsii,E,499,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus grandis,E,174,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus longimanus,E,306,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Hesperoconopa,D,50,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Hesperoperla pacifica,P,248,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Kogotus,P,39,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Kogotus nonus,P,2,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Rhithrogena spp.,E,561,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila angelita grp.,T,114,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila sibirica grp.-pellisa,T,85,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila vofixa grp.,T,91,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Setvena,P,55,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Setvena bradleyi,P,18,15,very fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Apatania,T,112,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Arctopsychinae,T,48,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Attenella,E,95,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Attenella delantala,E,7,10,moderately fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Calineuria californica,P,160,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Dicosmoecus,T,95,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Dicosmoecus gilvipes,T,54,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Dolophilodes,T,118,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Drunella coloradensis,E,187,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Drunella grandis,E,107,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Drunella grandis/spinifera,E,132,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus spp.,E,949,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus albertae,E,155,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus deceptivus,E,131,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Glossosoma,T,432,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Neophylax,T,184,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Neophylax rickeri,T,27,10,moderately fine sediment sensitive,Relyea 2007 Table 4,
Neothremma,T,188,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Neothremma alicia,T,57,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Ordobrevia nubifera,C,42,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Oreogeton,D,46,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Paraleptophlebia bicornuta,E,67,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Paraperla,P,115,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Petrophila,L,47,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Polycelis coronata,TU,157,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Pteronarcys,P,101,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Pteronarcys dorsata,P,1,10,moderately fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Pteronarcys princeps,P,8,10,moderately fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Pteronarcys californica,P,52,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila betteni grp.,T,271,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila sibirica grp.-narvae,T,166,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila sibirica grp.-valuma,T,34,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila sibirica grp.-valuma/pellisa,T,29,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Suwallia,P,96,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Acentrella,E,176,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Acentrella insignificans,E,74,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Acentrella turbida,E,72,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Agapetus,T,68,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Amiocentrus aspilus,T,40,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Anagapetus,T,58,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Antocha,D,347,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Atherix,D,113,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Baetis bicaudatus,E,324,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Cinygmula,E,612,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Drunella spp.,E,1199,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Drunella spinifera,E,100,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Glutops,D,189,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Ecdyonurus criddlei,E,56,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Ephemerella tibialis,E,370,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Heterlimnius,C,584,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Heterlimnius corpulentus,C,175,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Ironodes,E,39,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Matriella teresa,E,31,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Narpus,C,164,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Narpus concolor,C,52,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Nixe,E,101,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Nixe criddlei,E,56,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Octogomphus,O,27,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Parapsyche,T,522,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Parapsyche almota,T,49,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Parapsyche elsis,T,194,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Prosimulium,D,172,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Protoptila,T,28,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhabdomastix,D,107,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhabdomastix fascigera gr.,D,9,5,slightly fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Rhabdomastix setigera gr.,D,4,5,slightly fine sediment sensitive,Relyea 2007 Table 4,"n-size too small, therefore species occurrence value is the same as genus occurrence value"
Rhyacophila verrula grp.,T,66,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Serratella,E,436,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Visoka cataractae,P,172,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Yoraperla,P,396,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Yoraperla mariana,P,19,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Yoraperla brevis,P,25,5,slightly fine sediment sensitive,Relyea 2007 Table 4,
Zapada frigida,P,25,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Zapada oregonensis grp.,P,153,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
